Epos,axe_id,Gpo,numphy,Ll,LcIndex,SGv,Lv,LsenShrink,Lr,SGl,Esen,SEl,Ginc,TT,Gsen,L_shape,Gd,Laz,Linc,Slv,plant,El,SLsen,Lsen,Lpos,Lpo,Epo,SEsen,Lw_shape,Gv,Gl,SGsen,Ed,refplant_id,SLl,Einc,Gpos,LcType,Ev,SEv,ms_insertion
2.0,MS,1.0,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,9.266666667,0.4,145.457970416,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.381001176,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0
2.0,MS,1.0,2,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,9.20000000013,0.4,182.613607876,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.372438537017,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0
2.0,MS,1.0,3,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,7.55000000495,0.4,175.075220005,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.452776836759,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0
2.0,MS,1.0,4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,9.299999993,0.4,175.030075999,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.549611199613,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0
2.0,MS,1.0,5,0.0,0.0,4.54956651594,0.0,0.5,0.0,4.54956651594,0.0,0.0,0.0,1500.0,1.91365584054,10.3499999948,0.4,176.948647187,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.603818699729,3.62042999969,3.62042999969,2.40477085205,0.0,1.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0
2.0,MS,1.0,6,11.300000014,84.0,1.38257772677,11.300000014,0.5,0.0,6.49249918686,0.0,1.09712865293e-17,0.0,1500.0,0.0,11.300000014,0.449266667056,179.783003917,1.0,7.26030549826,1,2.00130050365e-09,3.61922109906,11.300000014,2.0,1.0,1.0,0.0,0.792921501896,0.979570021816,4.6000000195,0.0,1.74499979392e-09,1.0,7.23844219812,0.0,2.0,6.0,0.0,0.0,0.0
2.0,MS,1.0,7,14.1000000152,61.0,6.22020768976,14.1000000152,0.5,0.0,12.295015566,0.0,0.438851575827,0.0,1500.0,0.0,14.1000000152,0.460426471033,152.142286082,1.0,14.2607271505,1,0.400260158032,3.13918883914,7.45285708687,2.0,1.0,1.0,0.0,1.17217650049,4.30026014213,8.5000000036,0.0,0.349,1.0,13.7068242386,0.0,2.0,5.0,0.0,0.0,0.0
2.0,MS,1.0,8,17.9000000018,3.0,5.60876783243,17.9000000018,0.5,0.0,13.8441191772,0.0,3.18869497861,0.0,1500.0,0.0,17.9000000018,0.468799999943,188.725458956,1.0,18.6745393662,1,2.90828978698,0.0,0.0,2.0,1.0,1.0,0.0,1.29570200014,3.80828978368,9.4000000003,0.0,0.349000000021,1.0,18.6745393662,0.0,2.0,4.0,0.0,0.0,0.0
2.0,MS,1.0,9,18.4999999966,14.0,8.48204840183,18.4999999966,0.5,0.0,13.4293137677,0.0,6.5988991238,0.0,1500.0,0.0,18.4999999966,0.449966666996,189.212103537,1.0,20.0041484491,1,5.90026637329,0.0,0.0,2.0,1.0,1.0,0.0,1.3435687503,6.00026637399,9.500000001,0.0,0.356000000024,1.0,20.0041484491,0.0,2.0,3.0,0.0,0.0,0.0
2.0,MS,1.0,10,16.7999999936,8.0,14.0694481583,16.7999999936,0.5,0.0,14.0694481583,0.0,12.1928863979,0.0,1500.0,0.0,16.7999999936,0.447844444005,193.23660335,1.0,19.8901124354,1,10.5465116345,0.0,0.0,2.0,1.0,1.0,0.0,1.49280699997,10.0000000042,10.0000000042,0.0,0.368000000006,1.0,19.8901124354,0.0,2.0,2.0,1.04651163354,1.20987847964,0.0
